family,market,source_file,source_path,document_type,process_type,created_datetime_utc,document_period_start_utc,document_period_end_utc,time_series_count,point_count,rows_generated,resolution_distribution
week_ahead_total_load_forecast,BE,6_1_c_week_ahead_load_forecast_BE_2022_offset_0000.xml,data\00_Raw\Load\Load_BE\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_BE_2022_offset_0000.xml,A65,A31,2026-03-31T14:28:55+00:00,2021-12-31T23:00:00+00:00,2022-12-31T23:00:00+00:00,2,730,730,"{""P1D"": 2}"
week_ahead_total_load_forecast,BE,6_1_c_week_ahead_load_forecast_BE_2023_offset_0000.xml,data\00_Raw\Load\Load_BE\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_BE_2023_offset_0000.xml,A65,A31,2026-03-31T14:28:55+00:00,2022-12-31T23:00:00+00:00,2023-12-31T23:00:00+00:00,2,730,730,"{""P1D"": 2}"
week_ahead_total_load_forecast,BE,6_1_c_week_ahead_load_forecast_BE_2024_offset_0000.xml,data\00_Raw\Load\Load_BE\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_BE_2024_offset_0000.xml,A65,A31,2026-03-31T14:28:56+00:00,2023-12-31T23:00:00+00:00,2024-12-31T23:00:00+00:00,2,732,732,"{""P1D"": 2}"
week_ahead_total_load_forecast,BE,6_1_c_week_ahead_load_forecast_BE_2025_offset_0000.xml,data\00_Raw\Load\Load_BE\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_BE_2025_offset_0000.xml,A65,A31,2026-03-31T14:28:57+00:00,2024-12-31T23:00:00+00:00,2025-12-31T23:00:00+00:00,2,730,730,"{""P1D"": 2}"
week_ahead_total_load_forecast,DE,6_1_c_week_ahead_load_forecast_DE_2022_offset_0000.xml,data\00_Raw\Load\Load_DE\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_DE_2022_offset_0000.xml,A65,A31,2026-03-31T14:28:58+00:00,2021-12-31T23:00:00+00:00,2022-12-31T23:00:00+00:00,2,730,730,"{""P1D"": 2}"
week_ahead_total_load_forecast,DE,6_1_c_week_ahead_load_forecast_DE_2023_offset_0000.xml,data\00_Raw\Load\Load_DE\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_DE_2023_offset_0000.xml,A65,A31,2026-03-31T14:28:59+00:00,2022-12-31T23:00:00+00:00,2023-12-31T23:00:00+00:00,2,730,730,"{""P1D"": 2}"
week_ahead_total_load_forecast,DE,6_1_c_week_ahead_load_forecast_DE_2024_offset_0000.xml,data\00_Raw\Load\Load_DE\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_DE_2024_offset_0000.xml,A65,A31,2026-03-31T14:28:59+00:00,2023-12-31T23:00:00+00:00,2024-12-31T23:00:00+00:00,2,732,732,"{""P1D"": 2}"
week_ahead_total_load_forecast,DE,6_1_c_week_ahead_load_forecast_DE_2025_offset_0000.xml,data\00_Raw\Load\Load_DE\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_DE_2025_offset_0000.xml,A65,A31,2026-03-31T14:29:00+00:00,2024-12-31T23:00:00+00:00,2025-12-31T23:00:00+00:00,2,730,730,"{""P1D"": 2}"
week_ahead_total_load_forecast,NL,6_1_c_week_ahead_load_forecast_NL_2022_offset_0000.xml,data\00_Raw\Load\Load_NL\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_NL_2022_offset_0000.xml,A65,A31,2026-03-31T14:29:01+00:00,2021-12-31T23:00:00+00:00,2022-12-31T23:00:00+00:00,2,730,730,"{""P1D"": 2}"
week_ahead_total_load_forecast,NL,6_1_c_week_ahead_load_forecast_NL_2023_offset_0000.xml,data\00_Raw\Load\Load_NL\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_NL_2023_offset_0000.xml,A65,A31,2026-03-31T14:29:02+00:00,2022-12-31T23:00:00+00:00,2023-12-31T23:00:00+00:00,2,730,730,"{""P1D"": 2}"
week_ahead_total_load_forecast,NL,6_1_c_week_ahead_load_forecast_NL_2024_offset_0000.xml,data\00_Raw\Load\Load_NL\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_NL_2024_offset_0000.xml,A65,A31,2026-03-31T14:29:02+00:00,2023-12-31T23:00:00+00:00,2024-12-31T23:00:00+00:00,2,732,732,"{""P1D"": 2}"
week_ahead_total_load_forecast,NL,6_1_c_week_ahead_load_forecast_NL_2025_offset_0000.xml,data\00_Raw\Load\Load_NL\6_1_C_Week_Ahead_Total_Load_Forecast\6_1_c_week_ahead_load_forecast_NL_2025_offset_0000.xml,A65,A31,2026-03-31T14:29:03+00:00,2024-12-31T23:00:00+00:00,2025-12-31T23:00:00+00:00,2,730,730,"{""P1D"": 2}"
